#{"t_start": 1642219136.7131505, "env_id": "KinovaSpoon-v2"}
r,l,t,is_success
50.0,50,1.890944,0.0
50.0,50,3.009184,0.0
50.0,50,4.12754,0.0
50.0,50,5.259657,0.0
50.0,50,6.378003,0.0
50.0,50,7.496371,0.0
50.0,50,8.615466,0.0
50.0,50,9.74719,0.0
50.0,50,10.866125,0.0
50.0,50,11.983969,0.0
50.0,50,13.116141,0.0
50.0,50,14.234425,0.0
50.0,50,15.352612,0.0
50.0,50,16.471061,0.0
50.0,50,17.603366,0.0
50.0,50,18.721541,0.0
50.0,50,19.840262,0.0
50.0,50,20.958322,0.0
50.0,50,22.090629,0.0
50.0,50,23.209311,0.0
50.0,50,24.327369,0.0
50.0,50,25.445759,0.0
50.0,50,26.578014,0.0
50.0,50,27.696629,0.0
50.0,50,28.815036,0.0
50.0,50,29.93291,0.0
50.0,50,31.065224,0.0
50.0,50,32.183713,0.0
50.0,50,33.307736,0.0
50.0,50,34.420508,0.0
50.0,50,35.55265,0.0
50.0,50,36.671338,0.0
50.0,50,37.789651,0.0
50.0,50,38.921375,0.0
50.0,50,40.039819,0.0
50.0,50,41.158059,0.0
50.0,50,42.276408,0.0
28.0,28,43.092036,0.0
50.0,50,44.210108,0.0
50.0,50,45.32841,0.0
50.0,50,46.446624,0.0
50.0,50,47.578797,0.0
50.0,50,48.697095,0.0
50.0,50,49.815469,0.0
50.0,50,50.93461,0.0
50.0,50,52.066422,0.0
50.0,50,53.184801,0.0
50.0,50,54.307475,0.0
50.0,50,55.421352,0.0
50.0,50,56.553986,0.0
50.0,50,57.671815,0.0
50.0,50,58.790573,0.0
50.0,50,59.908946,0.0
50.0,50,61.041346,0.0
50.0,50,62.158996,0.0
50.0,50,63.277778,0.0
50.0,50,64.396106,0.0
50.0,50,65.528192,0.0
50.0,50,66.64661,0.0
50.0,50,67.765201,0.0
50.0,50,68.897295,0.0
50.0,50,70.015701,0.0
50.0,50,71.133676,0.0
50.0,50,72.251925,0.0
50.0,50,73.384296,0.0
50.0,50,74.502527,0.0
50.0,50,75.621241,0.0
50.0,50,76.739409,0.0
55.0,50,77.871784,0.0
50.0,50,78.990255,0.0
50.0,50,80.108801,0.0
50.0,50,81.227096,0.0
50.0,50,82.358981,0.0
50.0,50,83.477208,0.0
41.0,41,84.543994,0.0
50.0,50,85.663091,0.0
17.0,17,86.246434,0.0
50.0,50,87.365293,0.0
50.0,50,88.497243,0.0
50.0,50,89.615432,0.0
50.0,50,90.734103,0.0
50.0,50,91.852431,0.0
50.0,50,92.984302,0.0
50.0,50,94.102735,0.0
50.0,50,95.221036,0.0
64.0,50,96.344293,0.0
50.0,50,97.47184,0.0
50.0,50,98.590163,0.0
50.0,50,99.709011,0.0
59.0,50,100.827191,0.0
50.0,50,101.959492,0.0
50.0,50,103.077263,0.0
50.0,50,104.19564,0.0
50.0,50,105.314008,0.0
50.0,50,106.446068,0.0
50.0,50,107.564695,0.0
50.0,50,108.683611,0.0
50.0,50,109.815759,0.0
50.0,50,110.934085,0.0
50.0,50,112.051981,0.0
50.0,50,113.170522,0.0
50.0,50,114.302592,0.0
50.0,50,115.420876,0.0
50.0,50,116.540631,0.0
50.0,50,117.658005,0.0
64.0,50,118.789737,0.0
50.0,50,119.908766,0.0
50.0,50,121.026767,0.0
50.0,50,122.145083,0.0
50.0,50,123.277567,0.0
50.0,50,124.395484,0.0
50.0,50,125.513829,0.0
50.0,50,126.632399,0.0
